NodeID,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
r6,8413.0,-0.018433,0.123291,2.746582,0.732422,-0.671387,2026-04-20T14:57:29.654797+00:00
r6,-0.997437,-0.019287,0.124268,2.807617,0.610352,-0.732422,2026-04-20T14:57:29.655442+00:00
r6,-0.997192,-0.020874,0.124878,2.746582,0.488281,-0.671387,2026-04-20T14:57:29.655999+00:00
r6,-0.998535,-0.019165,0.123779,2.685547,0.488281,-0.671387,2026-04-20T14:57:29.656535+00:00
r6,-0.998291,-0.019287,0.125,2.746582,0.549316,-0.732422,2026-04-20T14:57:29.657072+00:00
r6,-0.998413,-0.020874,0.12439,2.685547,0.549316,-0.854492,2026-04-20T14:57:29.657659+00:00
r6,-0.998169,-0.019409,0.125,2.502441,0.549316,-0.793457,2026-04-20T14:57:29.658356+00:00
r6,-0.998291,-0.019531,0.125366,2.746582,0.427246,-0.732422,2026-04-20T14:57:29.658894+00:00
r6,-0.998657,-0.019775,0.124634,2.563477,0.610352,-0.793457,2026-04-20T14:57:29.659419+00:00
r6,-0.998413,-0.019531,0.123535,2.624512,0.488281,-0.610352,2026-04-20T14:57:29.659986+00:00
r6,-0.998291,-0.019897,0.124878,2.746582,0.549316,-0.854492,2026-04-20T14:57:29.660519+00:00
r6,-0.997925,-0.020996,0.124268,2.685547,0.732422,-0.732422,2026-04-20T14:57:29.661078+00:00
r6,-0.998291,-0.019287,0.123657,2.868652,0.488281,-0.732422,2026-04-20T14:57:29.661679+00:00
r6,-0.998047,-0.018677,0.124634,2.685547,0.488281,-0.610352,2026-04-20T14:57:29.662227+00:00
r6,-0.999023,-0.02002,0.12439,2.807617,0.549316,-0.671387,2026-04-20T14:57:29.662772+00:00
r6,-0.998901,-0.019409,0.124756,2.807617,0.610352,-0.793457,2026-04-20T14:57:29.663365+00:00
r6,-0.997925,-0.020996,0.124268,2.746582,0.610352,-0.915527,2026-04-20T14:57:29.663957+00:00
